Province,City,Ahmadinejad,Rezai,Karrubi,Mousavi,Total Votes Cast,Voided Votes,Legitimate Votes
East Azerbaijan,Azar Shahr,37203,453,138,18312,56712,606,56106
West Azerbaijan,Aromia,234600,3727,3544,199682,445344,3791,441553
Ardabil,Ardabil,137220,4411,1115,140582,285700,2372,283328
Kermanshah,West Islamabad,50878,897,669,32525,85833,864,84969
Yazd,Abir Koh,21659,187,51,6376,28473,200,28273
