TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Vehicle,2018,8,7,23,48,HORNBY ST / ROBSON ST,Central Business District,491144.6333,5458883.811
Theft of Vehicle,2018,11,13,14,45,HORNBY ST / W GEORGIA ST,Central Business District,491266.1029,5459007.35
Theft of Vehicle,2018,8,9,21,30,HOWE ST / NELSON ST,Central Business District,490978.3734,5458580.13
