TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2018,6,2,21,0,14XX E 20TH AVE,Kensington-Cedar Cottage,494633.0532,5455539.87
Break and Enter Residential/Other,2018,10,21,17,0,14XX E 28TH AVE,Kensington-Cedar Cottage,494492.1562,5454744.425
Break and Enter Residential/Other,2018,7,4,0,15,14XX E 28TH AVE,Kensington-Cedar Cottage,494549.1176,5454734.597
